Height ,Weight,DraftOvrl,Age,Name,Team,Season,Playoff,Starter,GS,GP,W,L,OTL,Shots ,Saves ,GAA,Svperc,Assists,PIM,Shutouts,StGA,StSV,StSVperc,StGAA,StMIN,QS,RBS,Pull,QSperc,AdjSVperc,QoC,Gsupp,HDGSAA,SVperc5v5,xSVperc,dSVperc,HDSVperc,GSAA5v5
74,206,191,28,Karri Ramo,CGY,2014,1,2,32,34,15,9,3,852,777,2.598,0.912,0,0,2,75,766,0.911,2.635,1708,15,6,7,0.469,0.923,0.085,3.063,0.09,91.74,92.2,-0.46,76.81,-3.19
74,195,0,25,Keith Kinkaid,NJD,2014,0,0,13,19,6,5,4,469,429,2.593,0.915,0,0,0,31,365,0.922,2.403,774,7,0,1,0.538,0.917,0.085,2.615,4.34,93.58,92.28,1.29,82.61,4.63
74,180,1,30,Marc-Andre Fleury,PIT,2014,1,1,64,64,34,20,9,1831,1685,2.32,0.92,1,6,10,146,1685,0.92,2.317,3780,35,6,3,0.547,0.93,0.085,2.719,4.79,92.71,92.26,0.45,79.93,6.09
76,187,0,25,Martin Jones,LAK,2014,0,0,11,15,4,5,2,307,278,2.244,0.906,1,0,3,21,237,0.919,2.104,599,5,1,0,0.455,0.915,0.085,2.3,-2.28,91.57,92.56,-1,72.09,-2.48
75,202,77,24,Michael Hutchinson,WPG,2014,1,2,36,38,21,10,5,986,901,2.385,0.914,0,0,2,84,877,0.913,2.422,2081,21,7,4,0.583,0.92,0.085,3.194,-1,92.43,92.46,-0.03,78.99,-0.19
76,215,161,32,Mike Smith,ARI,2014,0,1,61,62,14,42,5,1955,1768,3.155,0.904,1,10,0,186,1760,0.904,3.158,3534,29,12,6,0.475,0.915,0.086,1.902,-10.67,91.24,92.4,-1.16,73.94,-17.17
72,176,0,25,Niklas Svedberg,BOS,2014,0,0,14,18,7,5,1,425,390,2.333,0.918,0,0,2,30,351,0.921,2.302,782,9,2,2,0.643,0.929,0.086,2.5,0,92.22,92.29,-0.08,82.09,-0.26
75,218,41,27,Ondrej Pavelec,WPG,2014,1,2,46,50,22,16,8,1353,1245,2.283,0.92,0,2,5,106,1202,0.919,2.325,2736,23,5,2,0.5,0.929,0.086,2.5,1.81,92.95,92.06,0.89,80,8.55
77,204,258,32,Pekka Rinne,NSH,2014,1,1,64,64,41,17,6,1807,1667,2.181,0.923,1,8,4,140,1667,0.923,2.181,3852,43,7,1,0.672,0.924,0.085,2.969,2.16,93.66,93.37,0.28,78.3,4.08
74,183,141,22,Petr Mrazek,DET,2014,1,0,26,29,16,9,2,768,705,2.385,0.918,0,0,3,58,654,0.919,2.397,1452,15,6,4,0.577,0.922,0.083,3.154,-1.18,93.08,92.16,0.92,83.96,5.03
74,196,99,32,Ray Emery,PHI,2014,0,0,25,31,10,11,7,758,678,3.058,0.894,0,4,0,70,624,0.899,3.019,1391,13,6,3,0.52,0.904,0.085,2.76,-3.53,91.26,92.35,-1.09,74.38,-6.24
76,210,106,28,Reto Berra,COL,2014,0,0,12,19,5,4,1,403,370,2.645,0.918,0,0,1,27,283,0.913,2.803,578,5,3,3,0.417,0.93,0.083,2.917,2.15,92.79,92.48,0.31,85.45,0.94
75,217,4,35,Roberto Luongo,FLA,2014,0,1,61,61,28,19,12,1743,1605,2.347,0.921,0,0,2,138,1605,0.921,2.347,3528,36,9,7,0.59,0.921,0.084,2.41,9.24,93.25,93.24,0.01,79.38,0.1
77,225,46,23,Robin Lehner,OTT,2014,1,0,24,25,9,12,3,779,705,3.018,0.905,1,0,0,72,695,0.906,3.004,1438,11,2,1,0.458,0.908,0.087,2.917,-0.26,90.89,92.39,-1.5,81.03,-9.22
74,168,138,34,Ryan Miller,VAN,2014,1,1,45,45,29,15,1,1198,1091,2.526,0.911,0,0,6,107,1091,0.911,2.527,2541,25,8,5,0.556,0.918,0.084,3.133,2.93,91.24,92.01,-0.77,81.28,-7.33
